name,address,area,postcode,description
Tesco Express,1-3 High Rd,London,N22 6BH,White
Tesco Superstore,Church Langley Way,Harlow,CM17 9TE,"White, Pink melon"
Nisa Local,7 Potter St,Harlow,CM17 9AD,Tropical
Morrisons,1 London Road,Grays,RM17 5XZ,"Tropical, dark berry burst"
Premier,103-104 High St,Colchester,CO1 1TH,"Tropical, white, blue"
